curb_loc,tree_dbh,status,health,spc_common
OffsetFromCurb,19,Alive,Good,ginkgo
OnCurb,11,Alive,Good,honeylocust
OnCurb,9,Alive,Good,honeylocust
OnCurb,3,Alive,Fair,honeylocust
OnCurb,10,Alive,Good,honeylocust
OnCurb,12,Alive,Good,honeylocust
OnCurb,4,Alive,Fair,honeylocust
OnCurb,10,Alive,Good,ginkgo
OnCurb,6,Alive,Good,honeylocust
OnCurb,11,Alive,Good,honeylocust
OnCurb,6,Alive,Good,ginkgo
OnCurb,8,Alive,Fair,honeylocust
OnCurb,7,Alive,Good,honeylocust
OffsetFromCurb,2,Alive,Good,honeylocust
OnCurb,9,Alive,Good,honeylocust
OnCurb,11,Alive,Good,honeylocust
OnCurb,12,Alive,Good,London planetree
OnCurb,17,Alive,Good,willow oak
OnCurb,5,Alive,Fair,Turkish hazelnut
OnCurb,9,Alive,Good,ginkgo
OnCurb,8,Alive,Poor,ginkgo
OnCurb,6,Alive,Poor,ginkgo
OnCurb,3,Alive,Good,Norway maple
OnCurb,10,Alive,Good,ginkgo
OnCurb,10,Alive,Good,ginkgo
OnCurb,7,Alive,Good,honeylocust
OnCurb,14,Alive,Good,ginkgo
OnCurb,6,Alive,Good,honeylocust
OnCurb,12,Alive,Good,Norway maple
OnCurb,19,Alive,Fair,London planetree
OnCurb,4,Alive,Good,London planetree
OnCurb,5,Alive,Good,willow oak
OffsetFromCurb,26,Alive,Good,London planetree
OnCurb,4,Alive,Good,honeylocust
OffsetFromCurb,3,Alive,Good,honeylocust
OnCurb,4,Alive,Good,Sophora
OnCurb,1,Alive,Poor,Sophora
OnCurb,5,Alive,Good,honeylocust
OnCurb,4,Alive,Good,honeylocust
OnCurb,4,Alive,Good,honeylocust
OnCurb,11,Alive,Fair,Callery pear
OnCurb,3,Alive,Fair,swamp white oak
OffsetFromCurb,4,Alive,Good,crab apple
OnCurb,12,Alive,Good,honeylocust
OnCurb,11,Alive,Good,Japanese zelkova
OnCurb,5,Alive,Good,Japanese zelkova
OnCurb,7,Alive,Good,American linden
OnCurb,4,Alive,Good,Sophora
OnCurb,4,Alive,Good,Sophora
OnCurb,6,Alive,Good,Sophora
OnCurb,8,Alive,Good,honeylocust
OnCurb,10,Alive,Fair,American linden
OnCurb,9,Alive,Fair,honeylocust
OnCurb,6,Alive,Good,honeylocust
OnCurb,13,Alive,Good,honeylocust
OnCurb,3,Alive,Fair,Sophora
OnCurb,15,Alive,Good,ginkgo
OnCurb,11,Alive,Good,honeylocust
OnCurb,11,Alive,Good,honeylocust
OnCurb,7,Alive,Good,sweetgum
OnCurb,7,Alive,Good,ginkgo
OnCurb,8,Alive,Good,honeylocust
OnCurb,7,Alive,Good,ginkgo
OnCurb,13,Alive,Good,ginkgo
OnCurb,8,Alive,Good,American linden
OffsetFromCurb,21,Alive,Good,pin oak
OnCurb,21,Alive,Good,pin oak
OnCurb,14,Alive,Good,Sophora
OnCurb,12,Alive,Good,honeylocust
OnCurb,6,Alive,Good,honeylocust
OnCurb,7,Alive,Good,honeylocust
OnCurb,5,Alive,Good,honeylocust
OnCurb,12,Alive,Good,American linden
OnCurb,8,Alive,Good,American linden
OnCurb,10,Alive,Good,honeylocust
OnCurb,7,Alive,Good,honeylocust
OffsetFromCurb,17,Alive,Good,London planetree
OffsetFromCurb,24,Alive,Good,London planetree
OnCurb,20,Alive,Good,Ohio buckeye
OnCurb,14,Alive,Good,Sophora
OnCurb,9,Alive,Good,Sophora
OnCurb,8,Alive,Good,Callery pear
OnCurb,18,Alive,Good,Callery pear
OnCurb,7,Alive,Good,Callery pear
OnCurb,12,Alive,Good,Callery pear
OnCurb,10,Alive,Good,ginkgo
OnCurb,8,Alive,Good,honeylocust
OnCurb,4,Alive,Good,honeylocust
OnCurb,5,Alive,Fair,Japanese zelkova
OnCurb,6,Alive,Fair,Japanese zelkova
OnCurb,0,Stump,NA,NA
OnCurb,11,Alive,Good,honeylocust
OnCurb,6,Alive,Good,honeylocust
OnCurb,2,Alive,Fair,honeylocust
OnCurb,10,Alive,Fair,Callery pear
OnCurb,8,Alive,Good,Callery pear
OnCurb,8,Alive,Good,Callery pear
OnCurb,10,Alive,Good,Callery pear
OnCurb,9,Alive,Fair,Sophora
OnCurb,4,Alive,Good,Norway maple
OnCurb,4,Alive,Good,Sophora
OnCurb,13,Alive,Good,Sophora
OnCurb,7,Alive,Poor,Norway maple
OnCurb,4,Alive,Poor,swamp white oak
OnCurb,10,Alive,Good,Japanese zelkova
OnCurb,8,Dead,NA,NA
OnCurb,2,Alive,Good,American linden
OnCurb,10,Alive,Good,honeylocust
OnCurb,4,Alive,Good,ginkgo
OnCurb,7,Alive,Good,American linden
OnCurb,7,Alive,Good,ginkgo
OnCurb,5,Alive,Good,Sophora
OnCurb,11,Alive,Fair,Sophora
OnCurb,7,Alive,Fair,Callery pear
OnCurb,4,Alive,Good,Norway maple
OnCurb,12,Alive,Good,honeylocust
OnCurb,6,Alive,Good,American linden
OnCurb,6,Alive,Fair,American linden
OnCurb,10,Alive,Good,Norway maple
OffsetFromCurb,4,Alive,Good,crab apple
OnCurb,12,Alive,Good,ginkgo
OnCurb,9,Alive,Good,honeylocust
OnCurb,2,Alive,Good,American linden
OnCurb,8,Alive,Good,honeylocust
OffsetFromCurb,9,Alive,Good,pin oak
OnCurb,5,Alive,Good,ginkgo
OnCurb,4,Alive,Good,honeylocust
OnCurb,13,Alive,Fair,honeylocust
OnCurb,8,Alive,Good,honeylocust
OnCurb,9,Alive,Good,honeylocust
OnCurb,11,Alive,Fair,Callery pear
OnCurb,14,Alive,Good,mulberry
OnCurb,5,Alive,Fair,tulip-poplar
OnCurb,10,Alive,Good,Sophora
OnCurb,14,Alive,Good,Japanese zelkova
OnCurb,2,Alive,Good,Japanese zelkova
OnCurb,8,Alive,Good,northern red oak
OnCurb,9,Alive,Good,honeylocust
OnCurb,11,Alive,Good,ginkgo
OnCurb,10,Alive,Good,honeylocust
OnCurb,8,Alive,Fair,American linden
OffsetFromCurb,15,Alive,Poor,London planetree
OnCurb,19,Alive,Good,London planetree
OffsetFromCurb,20,Alive,Good,London planetree
OnCurb,3,Alive,Good,Amur maple
OffsetFromCurb,28,Alive,Good,London planetree
OffsetFromCurb,22,Alive,Good,sweetgum
OnCurb,9,Alive,Good,sweetgum
OnCurb,7,Alive,Good,sawtooth oak
OnCurb,6,Alive,Good,Japanese zelkova
OnCurb,8,Alive,Good,ginkgo
OnCurb,17,Alive,Good,American linden
OnCurb,12,Alive,Good,honeylocust
OnCurb,6,Alive,Good,ginkgo
OnCurb,6,Alive,Good,Japanese zelkova
OnCurb,23,Alive,Good,American elm
OnCurb,12,Alive,Good,American elm
OnCurb,0,Stump,NA,NA
OnCurb,13,Alive,Good,Japanese zelkova
OnCurb,2,Alive,Good,Japanese zelkova
OnCurb,6,Alive,Fair,Japanese zelkova
OnCurb,3,Dead,NA,NA
OnCurb,30,Alive,Good,London planetree
OnCurb,12,Alive,Good,honeylocust
OnCurb,11,Alive,Good,honeylocust
OnCurb,10,Alive,Fair,honeylocust
OnCurb,6,Alive,Good,honeylocust
OnCurb,4,Alive,Good,holly
OnCurb,19,Alive,Good,littleleaf linden
OnCurb,5,Alive,Good,littleleaf linden
OffsetFromCurb,7,Alive,Poor,littleleaf linden
OffsetFromCurb,2,Alive,Good,holly
OnCurb,13,Alive,Good,littleleaf linden
OffsetFromCurb,8,Alive,Good,northern red oak
OnCurb,0,Stump,NA,NA
OnCurb,4,Dead,NA,NA
OnCurb,0,Stump,NA,NA
OnCurb,5,Alive,Fair,ginkgo
OnCurb,16,Alive,Good,London planetree
OffsetFromCurb,18,Alive,Good,London planetree
OffsetFromCurb,26,Alive,Good,London planetree
OnCurb,4,Alive,Good,London planetree
OffsetFromCurb,23,Alive,Good,London planetree
OnCurb,6,Alive,Fair,Japanese zelkova
OffsetFromCurb,0,Stump,NA,NA
OnCurb,4,Alive,Good,Japanese zelkova
OnCurb,4,Alive,Good,Japanese zelkova
OnCurb,8,Alive,Good,honeylocust
OnCurb,10,Alive,Fair,American linden
OnCurb,3,Alive,Poor,pin oak
OnCurb,10,Alive,Good,pin oak
OnCurb,5,Alive,Good,pin oak
OnCurb,3,Alive,Good,pin oak
OffsetFromCurb,22,Alive,Good,London planetree
OnCurb,13,Alive,Good,London planetree
OnCurb,33,Alive,Good,American elm
OffsetFromCurb,20,Alive,Good,London planetree
OnCurb,7,Alive,Good,littleleaf linden
OnCurb,8,Alive,Fair,honeylocust
OnCurb,7,Alive,Good,honeylocust
OffsetFromCurb,23,Alive,Good,London planetree
OffsetFromCurb,15,Alive,Good,London planetree
OnCurb,8,Alive,Fair,honeylocust
OnCurb,2,Alive,Good,honeylocust
OnCurb,5,Alive,Good,honeylocust
OnCurb,10,Alive,Poor,London planetree
OnCurb,2,Alive,Good,American elm
OffsetFromCurb,22,Alive,Good,London planetree
OnCurb,13,Alive,Good,honeylocust
OnCurb,9,Alive,Poor,ginkgo
OnCurb,8,Alive,Good,honeylocust
OnCurb,9,Alive,Good,honeylocust
OnCurb,6,Alive,Good,black cherry
OnCurb,4,Alive,Fair,Japanese zelkova
OnCurb,11,Alive,Good,black oak
OnCurb,3,Dead,NA,NA
OnCurb,7,Alive,Good,honeylocust
OnCurb,11,Alive,Good,honeylocust
OnCurb,9,Alive,Good,honeylocust
OnCurb,9,Alive,Good,Sophora
OnCurb,10,Alive,Fair,pin oak
OnCurb,4,Alive,Fair,Callery pear
OnCurb,11,Alive,Good,Callery pear
OnCurb,6,Alive,Fair,London planetree
OnCurb,14,Alive,Good,littleleaf linden
OnCurb,12,Alive,Good,littleleaf linden
OnCurb,13,Alive,Good,American elm
OffsetFromCurb,16,Alive,Good,London planetree
OnCurb,3,Alive,Good,London planetree
OnCurb,7,Alive,Good,honeylocust
OnCurb,7,Alive,Fair,American linden
OnCurb,14,Alive,Good,honeylocust
OnCurb,5,Alive,Good,honeylocust
OnCurb,4,Alive,Good,honeylocust
OnCurb,6,Alive,Good,ginkgo
OnCurb,3,Alive,Good,American linden
OnCurb,8,Alive,Good,honeylocust
OnCurb,13,Alive,Good,ash
OnCurb,4,Alive,Poor,London planetree
OffsetFromCurb,4,Alive,Good,pin oak
OnCurb,9,Alive,Good,pin oak
OnCurb,13,Alive,Good,honeylocust
OnCurb,0,Stump,NA,NA
OnCurb,18,Alive,Good,Japanese zelkova
OffsetFromCurb,17,Alive,Good,Sophora
OnCurb,5,Alive,Good,pin oak
OnCurb,8,Alive,Good,Callery pear
OnCurb,9,Alive,Good,Callery pear
OnCurb,8,Alive,Good,littleleaf linden
OnCurb,9,Alive,Fair,littleleaf linden
OnCurb,7,Alive,Good,silver linden
OnCurb,10,Alive,Fair,Callery pear
OnCurb,6,Alive,Good,London planetree
OnCurb,4,Alive,Fair,Japanese zelkova
OnCurb,6,Alive,Fair,pin oak
OnCurb,2,Alive,Good,pin oak
OnCurb,11,Alive,Fair,pin oak
OnCurb,9,Alive,Fair,ginkgo
OnCurb,4,Alive,Good,honeylocust
OnCurb,2,Alive,Good,honeylocust
OnCurb,13,Alive,Good,honeylocust
OnCurb,11,Alive,Good,honeylocust
OffsetFromCurb,6,Alive,Good,pin oak
OnCurb,9,Alive,Good,honeylocust
OnCurb,3,Alive,Good,ginkgo
OnCurb,3,Alive,Good,ginkgo
OnCurb,9,Alive,Good,honeylocust
OnCurb,6,Alive,Good,honeylocust
OnCurb,5,Alive,Fair,littleleaf linden
OnCurb,11,Alive,Poor,London planetree
OnCurb,3,Alive,Good,green ash
OffsetFromCurb,13,Alive,Good,pin oak
OnCurb,7,Alive,Good,honeylocust
OnCurb,8,Alive,Good,honeylocust
OnCurb,12,Alive,Good,honeylocust
OnCurb,11,Alive,Good,honeylocust
OnCurb,16,Alive,Fair,ginkgo
OnCurb,7,Alive,Good,London planetree
OnCurb,4,Alive,Fair,hardy rubber tree
OnCurb,6,Alive,Fair,hardy rubber tree
OnCurb,13,Alive,Good,Callery pear
OnCurb,10,Alive,Good,pin oak
OnCurb,10,Alive,Good,pin oak
OnCurb,27,Alive,Good,pin oak
OnCurb,9,Alive,Good,Callery pear
OnCurb,14,Alive,Good,honeylocust
OnCurb,7,Alive,Good,ginkgo
OnCurb,7,Dead,NA,NA
OffsetFromCurb,8,Alive,Good,northern red oak
OnCurb,4,Alive,Good,pin oak
OnCurb,4,Alive,Good,pin oak
OnCurb,6,Alive,Good,ginkgo
OnCurb,16,Alive,Good,ginkgo
OnCurb,10,Alive,Good,black walnut
OnCurb,7,Alive,Fair,black walnut
OnCurb,11,Alive,Good,honeylocust
OnCurb,3,Alive,Good,ginkgo
OnCurb,8,Alive,Good,honeylocust
OnCurb,15,Alive,Good,pin oak
OnCurb,10,Alive,Good,pin oak
OnCurb,23,Alive,Good,Callery pear
OnCurb,6,Alive,Good,Callery pear
OnCurb,6,Alive,Good,ginkgo
OnCurb,9,Alive,Good,honeylocust
OnCurb,8,Alive,Good,honeylocust
OnCurb,9,Alive,Fair,honeylocust
OnCurb,14,Alive,Good,Sophora
OnCurb,16,Alive,Good,Sophora
OnCurb,11,Alive,Good,pin oak
OnCurb,12,Alive,Good,pin oak
OffsetFromCurb,19,Alive,Good,pin oak
OnCurb,10,Alive,Fair,Callery pear
OnCurb,5,Alive,Good,silver linden
OnCurb,13,Dead,NA,NA
OnCurb,4,Dead,NA,NA
OnCurb,3,Alive,Good,Japanese zelkova
OnCurb,6,Alive,Good,Japanese zelkova
OnCurb,4,Alive,Good,golden raintree
OnCurb,11,Alive,Fair,black locust
OnCurb,4,Alive,Good,black locust
OnCurb,15,Alive,Fair,Sophora
OnCurb,13,Alive,Good,Sophora
OnCurb,3,Alive,Fair,white oak
OnCurb,2,Alive,Fair,Sophora
OnCurb,6,Alive,Fair,golden raintree
OnCurb,0,Stump,NA,NA
OnCurb,26,Alive,Good,black walnut
OnCurb,15,Alive,Good,honeylocust
OnCurb,10,Alive,Good,ginkgo
OnCurb,14,Alive,Good,honeylocust
OnCurb,13,Alive,Good,honeylocust
OnCurb,9,Alive,Good,American linden
OnCurb,16,Alive,Good,American elm
OffsetFromCurb,4,Alive,Good,American elm
OffsetFromCurb,17,Alive,Good,London planetree
OnCurb,4,Alive,Poor,London planetree
OnCurb,13,Alive,Good,Callery pear
OnCurb,3,Alive,Good,sweetgum
OnCurb,15,Alive,Good,Sophora
OnCurb,7,Alive,Good,Sophora
OnCurb,9,Alive,Good,Sophora
OnCurb,12,Alive,Fair,Callery pear
OnCurb,3,Alive,Good,littleleaf linden
OnCurb,9,Alive,Good,honeylocust
OnCurb,3,Alive,Good,honeylocust
OnCurb,7,Alive,Fair,ginkgo
OnCurb,10,Alive,Good,honeylocust
OnCurb,12,Alive,Fair,honeylocust
OnCurb,3,Alive,Good,swamp white oak
OnCurb,7,Alive,Fair,Callery pear
OnCurb,15,Alive,Good,mulberry
OnCurb,13,Alive,Good,silver linden
OnCurb,11,Alive,Good,green ash
OnCurb,3,Alive,Good,cherry
OnCurb,3,Alive,Fair,Japanese zelkova
OnCurb,7,Dead,NA,NA
OnCurb,0,Stump,NA,NA
OnCurb,13,Alive,Fair,pin oak
OnCurb,10,Alive,Good,pin oak
OnCurb,9,Alive,Fair,pin oak
OnCurb,5,Alive,Fair,pin oak
OnCurb,20,Alive,Good,Sophora
OnCurb,3,Alive,Good,sawtooth oak
OnCurb,19,Alive,Good,pin oak
OnCurb,12,Alive,Good,Sophora
OnCurb,9,Alive,Good,Sophora
OnCurb,12,Alive,Good,Sophora
OnCurb,4,Alive,Poor,littleleaf linden
OnCurb,4,Alive,Fair,littleleaf linden
OnCurb,9,Alive,Good,Callery pear
OnCurb,8,Alive,Fair,pin oak
OnCurb,16,Alive,Good,Callery pear
OnCurb,13,Alive,Good,Callery pear
OnCurb,10,Alive,Good,green ash
OnCurb,16,Alive,Good,green ash
OnCurb,3,Alive,Poor,eastern hemlock
OnCurb,17,Alive,Good,pin oak
OnCurb,4,Alive,Fair,pin oak
OnCurb,10,Alive,Good,pin oak
OnCurb,13,Alive,Good,pin oak
OnCurb,3,Alive,Fair,pin oak
OnCurb,4,Alive,Good,swamp white oak
OnCurb,3,Alive,Poor,littleleaf linden
OnCurb,6,Alive,Good,littleleaf linden
OnCurb,18,Alive,Good,Sophora
OnCurb,9,Alive,Good,Sophora
OnCurb,4,Alive,Fair,cherry
OnCurb,15,Alive,Good,pin oak
OnCurb,9,Alive,Good,pin oak
OnCurb,2,Alive,Good,black locust
OnCurb,7,Alive,Good,black locust
OnCurb,2,Alive,Good,Schumard's oak
OnCurb,7,Alive,Good,Sophora
OnCurb,8,Alive,Fair,Callery pear
OnCurb,8,Alive,Good,littleleaf linden
OnCurb,13,Alive,Poor,Schumard's oak
OnCurb,4,Alive,Good,black cherry
OnCurb,4,Alive,Good,white oak
OnCurb,6,Alive,Fair,Sophora
OnCurb,6,Alive,Good,Callery pear
OnCurb,7,Alive,Good,Callery pear
OnCurb,14,Alive,Good,Siberian elm
OnCurb,4,Alive,Good,cherry
OnCurb,8,Alive,Good,eastern cottonwood
OnCurb,11,Alive,Good,littleleaf linden
OnCurb,23,Alive,Good,Callery pear
OnCurb,8,Alive,Good,Callery pear
OnCurb,2,Dead,NA,NA
OnCurb,0,Stump,NA,NA
OnCurb,4,Alive,Good,hawthorn
OnCurb,5,Alive,Good,purple-leaf plum
OnCurb,14,Alive,Fair,Callery pear
OnCurb,9,Alive,Fair,Callery pear
OnCurb,11,Alive,Fair,Callery pear
OnCurb,9,Alive,Good,Callery pear
OnCurb,14,Alive,Good,Callery pear
OnCurb,13,Alive,Good,Callery pear
OnCurb,12,Alive,Fair,tree of heaven
OnCurb,3,Alive,Good,Amur maple
OffsetFromCurb,18,Alive,Good,London planetree
OnCurb,19,Alive,Good,pin oak
OnCurb,4,Alive,Poor,littleleaf linden
OffsetFromCurb,1,Alive,Good,holly
OnCurb,3,Alive,Good,northern red oak
OnCurb,0,Stump,NA,NA
OnCurb,0,Stump,NA,NA
OnCurb,11,Alive,Good,pin oak
OffsetFromCurb,7,Alive,Good,pin oak
OnCurb,3,Alive,Good,red maple
OnCurb,4,Alive,Good,Japanese zelkova
OnCurb,6,Alive,Good,Japanese zelkova
OnCurb,0,Stump,NA,NA
OnCurb,5,Alive,Fair,American linden
OnCurb,10,Alive,Good,honeylocust
OnCurb,9,Alive,Good,green ash
OnCurb,11,Alive,Fair,Callery pear
OnCurb,12,Alive,Good,Callery pear
OnCurb,0,Stump,NA,NA
OnCurb,8,Alive,Good,green ash
OnCurb,4,Alive,Fair,green ash
OnCurb,9,Alive,Fair,pin oak
OnCurb,8,Alive,Good,pin oak
OnCurb,16,Alive,Good,honeylocust
OnCurb,3,Alive,Good,ginkgo
OnCurb,6,Alive,Good,honeylocust
OnCurb,8,Alive,Good,Norway maple
OnCurb,10,Alive,Good,honeylocust
OnCurb,18,Alive,Good,Japanese zelkova
OnCurb,3,Alive,Fair,Chinese elm
OnCurb,4,Alive,Good,ginkgo
OnCurb,14,Alive,Fair,honeylocust
OnCurb,4,Alive,Good,ginkgo
OnCurb,5,Alive,Good,ginkgo
OnCurb,3,Alive,Fair,honeylocust
OnCurb,7,Alive,Fair,ginkgo
OnCurb,4,Alive,Good,ginkgo
OnCurb,10,Alive,Good,honeylocust
OnCurb,4,Alive,Fair,honeylocust
OnCurb,18,Alive,Fair,honeylocust
OnCurb,16,Alive,Good,Sophora
OffsetFromCurb,14,Alive,Fair,Sophora
OnCurb,8,Alive,Fair,ginkgo
OnCurb,8,Alive,Good,honeylocust
OnCurb,10,Alive,Good,green ash
OnCurb,13,Alive,Good,green ash
OnCurb,8,Alive,Good,green ash
OnCurb,12,Alive,Good,white ash
OnCurb,2,Alive,Good,golden raintree
OnCurb,12,Alive,Good,honeylocust
OnCurb,9,Alive,Good,honeylocust
OnCurb,6,Alive,Good,honeylocust
OnCurb,4,Alive,Poor,ginkgo
OnCurb,7,Alive,Poor,ginkgo
OnCurb,11,Alive,Good,honeylocust
OnCurb,10,Alive,Good,Callery pear
OnCurb,13,Alive,Good,honeylocust
OnCurb,12,Alive,Fair,Sophora
OnCurb,5,Alive,Fair,white oak
OnCurb,16,Alive,Good,pin oak
OffsetFromCurb,12,Alive,Good,pin oak
OnCurb,4,Alive,Good,ginkgo
OnCurb,8,Alive,Good,honeylocust
OnCurb,14,Alive,Good,ginkgo
OnCurb,7,Alive,Good,ginkgo
OnCurb,13,Alive,Good,honeylocust
OnCurb,11,Alive,Good,littleleaf linden
OnCurb,7,Alive,Fair,littleleaf linden
OnCurb,10,Alive,Good,littleleaf linden
OnCurb,10,Alive,Good,pin oak
OnCurb,21,Alive,Good,pin oak
OnCurb,10,Alive,Good,pin oak
OffsetFromCurb,5,Alive,Good,pin oak
OnCurb,7,Alive,Fair,pin oak
OnCurb,4,Alive,Good,red maple
OnCurb,5,Alive,Good,ginkgo
OnCurb,6,Alive,Good,ginkgo
OnCurb,10,Alive,Good,honeylocust
OnCurb,8,Alive,Fair,Callery pear
OnCurb,7,Alive,Fair,Callery pear
OnCurb,8,Alive,Fair,Callery pear
OnCurb,25,Alive,Good,Callery pear
OnCurb,12,Alive,Fair,Callery pear
OnCurb,4,Alive,Poor,Callery pear
OnCurb,13,Alive,Good,Callery pear
OnCurb,9,Alive,Good,Callery pear
OnCurb,11,Alive,Good,Callery pear
OnCurb,3,Alive,Good,golden raintree
OnCurb,14,Alive,Good,Sophora
OnCurb,6,Alive,Good,Sophora
OnCurb,16,Alive,Good,pin oak
OnCurb,8,Alive,Good,pin oak
OnCurb,10,Alive,Good,pin oak
OnCurb,17,Alive,Good,honeylocust
OnCurb,7,Alive,Good,honeylocust
OnCurb,6,Alive,Good,honeylocust
OnCurb,7,Alive,Fair,honeylocust
OnCurb,7,Alive,Fair,American linden
OnCurb,13,Alive,Good,honeylocust
OffsetFromCurb,4,Alive,Good,holly
OnCurb,2,Alive,Fair,littleleaf linden
OnCurb,5,Alive,Poor,littleleaf linden
OnCurb,11,Alive,Good,Callery pear
OnCurb,4,Alive,Poor,Callery pear
OnCurb,4,Alive,Fair,Callery pear
OnCurb,14,Alive,Good,Callery pear
OnCurb,13,Alive,Good,Callery pear
OffsetFromCurb,3,Alive,Good,holly
OnCurb,4,Alive,Good,holly
OnCurb,9,Alive,Fair,Callery pear
OffsetFromCurb,18,Alive,Good,London planetree
OnCurb,23,Alive,Good,American elm
OnCurb,12,Alive,Good,London planetree
OnCurb,20,Alive,Good,willow oak
OnCurb,5,Alive,Good,golden raintree
OnCurb,2,Alive,Good,black locust
OnCurb,20,Alive,Good,pin oak
OffsetFromCurb,7,Alive,Good,pin oak
OnCurb,9,Alive,Good,honeylocust
OnCurb,3,Alive,Good,honeylocust
OnCurb,11,Alive,Good,honeylocust
OnCurb,0,Stump,NA,NA
OnCurb,12,Alive,Good,northern red oak
OnCurb,19,Alive,Good,Japanese zelkova
OffsetFromCurb,28,Alive,Good,London planetree
OffsetFromCurb,20,Alive,Good,London planetree
OnCurb,9,Alive,Fair,Callery pear
OnCurb,5,Alive,Fair,Callery pear
OnCurb,12,Alive,Poor,Japanese zelkova
OnCurb,0,Stump,NA,NA
OnCurb,0,Stump,NA,NA
OnCurb,4,Alive,Fair,littleleaf linden
OnCurb,12,Alive,Fair,ginkgo
OnCurb,11,Alive,Fair,ginkgo
OnCurb,8,Alive,Good,honeylocust
OffsetFromCurb,15,Alive,Good,pin oak
OffsetFromCurb,27,Alive,Good,London planetree
OnCurb,0,Dead,NA,NA
OffsetFromCurb,0,Stump,NA,NA
OnCurb,4,Alive,Good,holly
OnCurb,14,Alive,Good,littleleaf linden
OnCurb,11,Alive,Good,honeylocust
OnCurb,7,Alive,Fair,honeylocust
OnCurb,8,Alive,Good,ginkgo
OnCurb,8,Alive,Fair,honeylocust
OnCurb,3,Alive,Good,Norway maple
OnCurb,5,Alive,Good,sawtooth oak
OnCurb,11,Alive,Good,honeylocust
OnCurb,4,Alive,Good,honeylocust
OnCurb,3,Alive,Good,ginkgo
OnCurb,9,Alive,Good,Japanese zelkova
OnCurb,4,Dead,NA,NA
OnCurb,2,Dead,NA,NA
OnCurb,3,Dead,NA,NA
OnCurb,18,Alive,Good,American elm
OffsetFromCurb,17,Alive,Good,London planetree
OnCurb,7,Alive,Good,American elm
OnCurb,16,Alive,Good,London planetree
OnCurb,7,Dead,NA,NA
OnCurb,14,Alive,Good,Japanese zelkova
OnCurb,3,Alive,Good,pin oak
OffsetFromCurb,17,Alive,Good,pin oak
OnCurb,3,Dead,NA,NA
OnCurb,5,Alive,Good,northern red oak
OnCurb,2,Alive,Good,Kentucky coffeetree
OnCurb,30,Alive,Good,London planetree
OnCurb,6,Alive,Good,London planetree
OnCurb,9,Alive,Good,willow oak
OffsetFromCurb,16,Alive,Good,London planetree
OnCurb,16,Alive,Good,littleleaf linden
OnCurb,8,Alive,Good,honeylocust
OnCurb,4,Alive,Good,American linden
OnCurb,11,Alive,Good,honeylocust
OffsetFromCurb,3,Alive,Good,honeylocust
OnCurb,3,Alive,Good,ginkgo
OnCurb,4,Alive,Fair,London planetree
